user_id,age,height_cm,chest_cm,waist_cm,hips_cm,shoulder_cm,style_preference,occasion,recommended_outfit,gender
U0426,32,174,81,78,106,38,Party,Function,Blazer + Trousers,Female
U1015,60,190,88,89,85,41,Party,Daily Wear,Denim Jacket + Jeans,Male
U0556,41,105,68,51,72,25,Formal,Function,Shirt + Trousers,Male
U0909,27,172,86,85,99,37,Party,Wedding,Suit,Female
U0184,3,121,69,56,56,25,Formal,Party,Shirt + Trousers,Kid-Male
U0188,52,174,94,84,98,45,Formal,Daily Wear,Denim Jacket + Jeans,Male
U0519,17,133,58,64,74,28,Casual,Wedding,Shirt + Trousers,Kid-Male
U0015,12,150,71,61,72,28,Casual,Office,Sweatshirt + Jeans,Kid-Female
U0941,29,167,87,92,99,44,Ethnic,Wedding,Suit,Male
U0905,25,183,87,92,102,48,Traditional,Daily Wear,Denim Jacket + Jeans,Male
U0335,25,168,95,77,94,49,Ethnic,Office,T-shirt + Shorts,Male
U0218,8,149,74,62,65,28,Party,Office,T-shirt + Shorts,Kid-Female
U0161,45,163,98,82,87,46,Ethnic,School,Suit,Male
U0738,43,164,94,95,90,40,Sporty,Party,Blazer + Trousers,Male
U0771,15,123,72,52,72,28,Ethnic,Wedding,Frock,Kid-Female
U0673,7,110,73,57,63,25,Sporty,School,Shirt + Trousers,Kid-Female
U0017,3,149,63,63,60,33,Casual,School,Shirt + Trousers,Kid-Male
U0519,17,133,58,64,74,28,Casual,Wedding,Shirt + Trousers,Kid-Male
U0585,41,172,94,76,97,43,Party,Party,Blazer + Trousers,Male
U0621,8,140,64,64,75,33,Sporty,Function,T-shirt + Shorts,Kid-Female
U0813,28,129,55,62,57,33,Party,Wedding,Suit,Female
U0966,57,161,80,81,107,39,Party,Party,Blazer + Trousers,Female
U0010,47,187,96,76,103,44,Casual,School,Denim Jacket + Jeans,Male
U1002,49,162,94,83,104,50,Sporty,Function,Nehru Jacket + Kurta,Male
U0476,59,105,68,69,59,25,Sporty,Daily Wear,Denim Jacket + Jeans,Female
U0362,5,111,73,58,62,34,Ethnic,Party,T-shirt + Shorts,Kid-Female
U0417,30,163,109,75,100,46,Formal,Office,Blazer + Trousers,Male
U0993,46,175,89,99,104,43,Ethnic,School,Kurta + Pajama,Male
U0933,43,182,91,90,90,44,Traditional,Daily Wear,Denim Jacket + Jeans,Male
U0017,3,149,63,63,60,33,Casual,School,Shirt + Trousers,Kid-Male
U0407,53,150,80,78,110,44,Party,Wedding,Suit,Female
U0269,5,119,58,60,62,26,Sporty,Office,T-shirt + Shorts,Kid-Female
U0239,47,139,67,61,55,25,Sporty,School,T-shirt + Shorts,Female
U1031,39,152,94,69,104,38,Formal,Function,Anarkali Suit,Female
U0802,38,165,107,95,95,44,Casual,Party,Denim Jacket + Jeans,Male
U0711,33,174,95,83,92,45,Traditional,School,Kurta + Pajama,Male
U0350,14,139,71,59,63,25,Ethnic,Wedding,Shirt + Trousers,Kid-Male
U0028,11,115,66,62,74,28,Traditional,Daily Wear,Frock,Kid-Female
U0107,9,130,73,62,65,35,Sporty,Party,Dungarees,Kid-Female
U0727,4,114,70,50,62,33,Sporty,Wedding,Shirt + Trousers,Kid-Male
U0809,42,156,82,70,105,42,Formal,School,Lehenga,Female
U0071,4,116,62,55,75,31,Traditional,Office,Sweatshirt + Jeans,Kid-Female
U0552,60,169,84,73,89,40,Party,Daily Wear,Denim Jacket + Jeans,Female
U0269,5,119,58,60,62,26,Sporty,Office,T-shirt + Shorts,Kid-Female
U0070,22,116,66,62,63,30,Sporty,Function,Dungarees,Female
U0423,10,112,56,60,62,29,Party,Function,T-shirt + Shorts,Kid-Female
U0285,29,186,98,77,90,49,Casual,School,Denim Jacket + Jeans,Male
U0494,28,164,97,84,97,44,Party,Party,Blazer + Trousers,Female
U0488,29,189,100,92,89,44,Traditional,Daily Wear,Denim Jacket + Jeans,Male
U1065,58,131,60,54,70,33,Party,Party,Blazer + Trousers,Female
U0725,4,103,67,68,73,29,Sporty,Wedding,Sweatshirt + Jeans,Kid-Female
U0338,5,100,71,63,59,29,Sporty,School,Shirt + Trousers,Kid-Female
U0791,38,166,93,82,100,40,Formal,Office,Blazer + Trousers,Male
U0091,59,155,89,79,86,36,Party,Party,Blazer + Trousers,Female
U0487,25,114,67,50,58,34,Formal,Wedding,Suit,Female
U0803,52,174,88,67,91,43,Formal,Function,Top + Skirt,Female
U0519,17,133,58,64,74,28,Casual,Wedding,Shirt + Trousers,Kid-Male
U0350,14,139,71,59,63,25,Ethnic,Wedding,Shirt + Trousers,Kid-Male
U0144,14,114,66,66,62,33,Sporty,Wedding,Shirt + Trousers,Kid-Male
U0149,4,146,69,70,73,33,Traditional,Function,Sweatshirt + Jeans,Kid-Female
U0872,57,158,84,71,97,36,Ethnic,Daily Wear,Denim Jacket + Jeans,Female
U0285,29,186,98,77,90,49,Casual,School,Denim Jacket + Jeans,Male
U0554,27,188,103,97,92,48,Traditional,Party,Blazer + Trousers,Male
U0828,59,118,64,52,74,27,Party,Party,Blazer + Trousers,Male
U0727,4,114,70,50,62,33,Sporty,Wedding,Shirt + Trousers,Kid-Male
U0295,12,136,69,65,70,28,Casual,Daily Wear,Frock,Kid-Female
U0519,17,133,58,64,74,28,Casual,Wedding,Shirt + Trousers,Kid-Male
U0519,17,133,58,64,74,28,Casual,Wedding,Shirt + Trousers,Kid-Male
U0184,3,121,69,56,56,25,Formal,Party,Shirt + Trousers,Kid-Male
U0811,49,171,97,81,91,39,Sporty,School,Gown,Female
U0727,4,114,70,50,62,33,Sporty,Wedding,Shirt + Trousers,Kid-Male
U0484,11,137,63,67,62,34,Casual,Function,Frock,Kid-Female
U0824,36,101,60,68,69,32,Ethnic,Party,Blazer + Trousers,Female
U0722,29,180,108,93,96,42,Ethnic,Wedding,Suit,Male
U0572,15,142,61,69,59,26,Party,Office,Sweatshirt + Jeans,Kid-Female
U0255,6,149,57,60,73,33,Ethnic,Party,Shirt + Trousers,Kid-Male
U0149,4,146,69,70,73,33,Traditional,Function,Sweatshirt + Jeans,Kid-Female
U0380,28,142,67,58,72,34,Sporty,Party,Blazer + Trousers,Female
U0008,8,131,71,67,74,30,Party,School,Shirt + Trousers,Kid-Male
U0445,6,125,71,67,55,34,Casual,Function,Shirt + Trousers,Kid-Male
U0920,42,173,96,81,86,35,Formal,Office,Blazer + Trousers,Female
U0236,4,129,59,53,64,26,Formal,Office,Sweatshirt + Jeans,Kid-Female
U0995,37,163,99,67,97,40,Formal,Wedding,Suit,Female
U0806,5,102,58,68,73,35,Ethnic,Office,Sweatshirt + Jeans,Kid-Female
U0008,8,131,71,67,74,30,Party,School,Shirt + Trousers,Kid-Male
U0255,6,149,57,60,73,33,Ethnic,Party,Shirt + Trousers,Kid-Male
U0848,20,121,63,64,60,32,Sporty,Wedding,Suit,Female
U0017,3,149,63,63,60,33,Casual,School,Shirt + Trousers,Kid-Male
U0519,17,133,58,64,74,28,Casual,Wedding,Shirt + Trousers,Kid-Male
U0949,40,148,58,62,75,29,Formal,Party,Blazer + Trousers,Male
U0826,44,169,88,82,85,36,Party,Party,Blazer + Trousers,Female
U0540,8,131,63,69,73,27,Casual,Wedding,Frock,Kid-Female
U0910,42,169,89,85,91,41,Sporty,Daily Wear,Denim Jacket + Jeans,Female
U1062,4,116,70,66,60,27,Ethnic,Function,Graphic Tee + Joggers,Kid-Female
U0572,15,142,61,69,59,26,Party,Office,Sweatshirt + Jeans,Kid-Female
U0817,15,125,63,54,74,35,Sporty,School,Shirt + Trousers,Kid-Female
U0170,59,113,59,56,65,29,Formal,Daily Wear,Denim Jacket + Jeans,Female
U0194,18,156,82,69,90,35,Casual,Wedding,Suit,Female
U0467,11,149,59,52,55,29,Ethnic,School,Shirt + Trousers,Kid-Female
U0782,25,160,86,72,97,45,Party,School,Blazer + Trousers,Female
U0005,16,117,64,65,63,29,Casual,Office,Shirt + Trousers,Kid-Male
U0005,16,117,64,65,63,29,Casual,Office,Shirt + Trousers,Kid-Male
U0071,4,116,62,55,75,31,Traditional,Office,Sweatshirt + Jeans,Kid-Female
U0017,3,149,63,63,60,33,Casual,School,Shirt + Trousers,Kid-Male
U0005,16,117,64,65,63,29,Casual,Office,Shirt + Trousers,Kid-Male
U0341,43,164,90,77,97,44,Sporty,Party,Blazer + Trousers,Female
U1087,48,134,67,67,58,35,Traditional,Party,Blazer + Trousers,Female
U0653,25,175,93,71,90,37,Ethnic,Wedding,Suit,Female
U0008,8,131,71,67,74,30,Party,School,Shirt + Trousers,Kid-Male
U0997,58,138,65,61,72,25,Casual,Daily Wear,Denim Jacket + Jeans,Female
U0028,11,115,66,62,74,28,Traditional,Daily Wear,Frock,Kid-Female
U0055,31,132,64,65,67,33,Ethnic,Wedding,Suit,Female
U0184,3,121,69,56,56,25,Formal,Party,Shirt + Trousers,Kid-Male
U0728,6,100,75,61,59,27,Party,Party,Sweatshirt + Jeans,Kid-Female
U0255,6,149,57,60,73,33,Ethnic,Party,Shirt + Trousers,Kid-Male
U0584,50,171,95,88,91,41,Casual,Office,Denim Jacket + Jeans,Male
U0327,18,169,90,65,108,39,Traditional,School,Gown,Female
U0282,27,177,93,78,89,50,Sporty,Wedding,Suit,Male
U0994,43,132,58,70,57,33,Ethnic,Office,Frock,Female
U0697,45,181,94,82,105,46,Casual,Wedding,Suit,Male
U0712,39,117,61,53,63,27,Traditional,School,T-shirt + Shorts,Female
U0672,44,166,80,68,108,37,Ethnic,Function,Kurta + Pajama,Female
U0639,21,159,80,81,89,38,Party,Wedding,Suit,Female
U0071,4,116,62,55,75,31,Traditional,Office,Sweatshirt + Jeans,Kid-Female
U0636,22,164,110,77,85,40,Ethnic,Office,Kurta + Pajama,Male
U0184,3,121,69,56,56,25,Formal,Party,Shirt + Trousers,Kid-Male
U0391,52,190,98,82,94,41,Party,Function,Blazer + Trousers,Male
U1029,49,167,107,87,85,43,Ethnic,Daily Wear,Denim Jacket + Jeans,Male
U0144,14,114,66,66,62,33,Sporty,Wedding,Shirt + Trousers,Kid-Male
U0255,6,149,57,60,73,33,Ethnic,Party,Shirt + Trousers,Kid-Male
U1088,29,145,72,56,75,30,Party,Daily Wear,Denim Jacket + Jeans,Female
U0769,25,126,72,66,66,29,Party,Wedding,Suit,Female
